user_id,typical_usage,preferred_color
1,formal,Red
2,casual,Blue
3,formal,Red
4,casual,Black
5,formal,White
6,formal,Blue
7,formal,Blue
8,casual,Red
9,formal,White
10,casual,White
11,running,White
12,running,Red
13,casual,Black
14,running,White
15,casual,Red
16,casual,Black
17,formal,Blue
18,formal,White
19,formal,White
20,running,Blue
21,running,Blue
22,formal,Red
23,casual,Blue
24,casual,Blue
25,formal,Black
26,casual,Blue
27,running,Red
28,casual,Red
29,running,White
30,running,Black
31,running,Black
32,running,Red
33,formal,Red
34,formal,Red
35,casual,Red
36,formal,Blue
37,running,Black
38,running,Red
39,running,White
40,running,White
41,running,Red
42,running,Black
43,formal,White
44,running,Red
45,running,White
46,running,Red
47,running,Blue
48,formal,Red
49,running,Blue
50,casual,White
